Date,SXXP,URW,LI,BAYN,BNP,ACA,RDSA,NDA
7/15/19,436.57,129.05,29.72,58.63,42.84,11.01,28.82,6.784
7/12/19,435.9,129.5,29.64,58.83,42.53,10.995,28.895,6.754
7/11/19,435.19,129.75,29.38,59.14,42.57,10.97,29,6.69
7/10/19,435.89,129.55,29.5,59.51,42.695,10.97,28.9,6.661
7/9/19,434.82,132.2,29.84,59.8,42.575,10.935,28.8,6.623
7/8/19,437.27,130.9,29.63,60.03,42.97,10.975,28.76,6.743
7/5/19,437.66,131.15,30.98,60.71,43.405,11.13,28.83,6.812
7/4/19,443.28,130.1,30.85,60.92,43.045,11.12,28.84,6.674
7/3/19,442.87,129.6,30.15,61.01,42.57,10.925,28.73,6.596
7/2/19,440.17,133.25,29.72,60.53,41.865,10.75,28.92,6.572
7/1/19,438.06,132.6,29.88,61.31,42.085,10.785,29.005,6.486
6/28/19,437.17,131.75,29.48,60.94,41.765,10.545,28.71,6.388
6/27/19,434.42,127.25,28.82,60.86,41.445,10.49,28.79,6.45
6/26/19,435.06,126.3,29,55.99,41.165,10.37,29.115,6.45
6/25/19,435.66,129.2,29.24,55.32,40.46,10.22,28.985,6.29
6/24/19,437.1,129.25,29.39,55.34,40.76,10.335,28.88,6.381
6/20/19,436.05,133.85,30.05,55.49,41.42,10.435,28.955,6.398
6/19/19,431.52,136.8,30.45,55.03,42.225,10.75,28.66,6.472
6/18/19,430.99,136.55,30.53,54.07,41.495,10.51,28.525,6.428
6/17/19,424.86,134.6,29.94,52.53,40.755,10.37,28.135,6.406
6/14/19,424.61,135.85,29.63,52.85,40.86,10.295,28.265,6.524
6/13/19,428.86,136.8,29.8,53.63,41.1,10.385,28.24,6.551
6/12/19,428.99,135.65,29.58,53.31,41.14,10.375,28.29,6.572
6/11/19,431.51,137.35,30.16,53.85,41.555,10.5,28.595,6.584
6/10/19,428.05,137.85,29.91,,41.48,10.495,28.485,6.541
6/7/19,428.06,136.4,29.42,52.87,40.815,10.29,28.365,6.472
6/6/19,422.37,135,29.19,53.29,41.005,10.24,28.115,6.471
6/5/19,420.28,138.3,30.86,53.98,41.73,10.415,27.82,6.453
6/4/19,419.07,136.4,30.56,54.5,41.995,10.52,27.745,6.483
6/3/19,415.54,134.7,30.42,53.88,40.815,10.17,27.865,6.372
5/31/19,411.94,135.35,30.47,52.82,40.875,10.23,27.86,6.338
5/29/19,412.53,136.35,30.47,53.91,41.325,10.22,27.86,6.519
5/28/19,419.69,137.95,31.02,55.43,44.285,10.31,28.165,6.532
5/27/19,421.58,138.9,30.79,54.67,44.2,10.35,28.255,6.604
5/24/19,421.18,138.4,30.61,53.9,43.905,10.185,28.18,6.568
5/23/19,417.97,135.6,29.74,54.21,43.65,10.675,28.06,6.55
