Date,sxxp
7/16/19,436.21269
7/15/19,436.56772
7/12/19,435.90258
7/11/19,435.19218
7/10/19,435.89218
7/9/19,434.81953
7/8/19,437.27285
7/5/19,437.66441
7/4/19,443.27561
7/3/19,442.8695
7/2/19,440.1702
7/1/19,438.06038
6/28/19,437.17383
6/27/19,434.41989
6/26/19,435.05826
6/25/19,435.65742
6/24/19,437.09843
6/21/19,436.35632
6/20/19,436.05187
6/19/19,431.51955
6/18/19,430.99208
6/17/19,424.8592
6/14/19,424.60813
6/13/19,428.86011
6/12/19,428.99228
6/11/19,431.51028
6/10/19,428.05033
6/7/19,428.06232
6/6/19,422.36949
6/5/19,420.27888
6/4/19,419.06742
6/3/19,415.54158
5/31/19,411.94477
5/30/19,414.33715
5/29/19,412.52583
5/28/19,419.69235
5/27/19,421.57616
5/24/19,421.18475
5/23/19,417.97198
5/22/19,423.06228
5/21/19,423.522
5/20/19,421.54733
5/17/19,425.91776
5/16/19,427.94498
5/15/19,423.65404
5/14/19,421.87714
5/13/19,418.58239
5/10/19,423.79222
5/9/19,421.63187
5/8/19,427.67715
5/7/19,426.4827
5/6/19,433.50009
5/3/19,437.05825
5/2/19,434.64535
5/1/19,439.66338
4/30/19,438.97729
4/29/19,437.53489
4/26/19,436.48446
4/25/19,434.51005
4/24/19,436.29458
4/23/19,438.85989
4/18/19,438.48658
4/17/19,440.08086
4/16/19,439.18456
4/15/19,438.82467
4/12/19,437.87015
4/11/19,435.58328
4/10/19,436.02037
4/9/19,434.66136
4/8/19,436.60752
4/5/19,435.39995
4/4/19,435.15135
4/3/19,437.30165
4/2/19,431.11809
4/1/19,429.9406
3/29/19,425.37689
3/28/19,423.37974
3/27/19,424.59091
3/26/19,425.59476
3/25/19,423.62926
3/22/19,424.80109
3/21/19,432.19736
3/20/19,432.55807
3/19/19,436.32287
3/18/19,432.85421
3/15/19,431.4052
3/14/19,427.68975
3/13/19,424.54068
3/12/19,421.39925
3/11/19,419.85497
3/8/19,416.52068
3/7/19,419.6803
3/6/19,424.59278
3/5/19,424.36051
3/4/19,425.05199
3/1/19,425.32376
2/28/19,424.32096
2/27/19,423.5862
2/26/19,425.20232
2/25/19,422.34986
2/22/19,421.19756
2/21/19,419.63749
2/20/19,422.20144
2/19/19,418.70716
2/18/19,418.25816
2/15/19,415.90606
2/14/19,410.98486
2/13/19,411.54017
2/12/19,410.66696
2/11/19,407.01835
2/8/19,405.69331
2/7/19,408.65479
2/6/19,415.81555
2/5/19,416.41709
2/4/19,411.42455
2/1/19,412.5514
1/31/19,410.67715
1/30/19,409.38257
1/29/19,408.24244
1/28/19,405.23353
1/25/19,408.1523
1/24/19,401.87153
1/23/19,404.32618
1/22/19,403.70182
1/21/19,405.11005
1/18/19,405.53739
1/17/19,399.37625
1/16/19,399.6726
1/15/19,397.18069
1/14/19,398.83723
1/11/19,400.98636
1/10/19,401.42133
1/9/19,401.00241
1/8/19,396.13659
1/7/19,393.24907
1/4/19,391.65923
1/3/19,380.63541
1/2/19,382.22753
12/31/18,386.67678
12/28/18,384.68074
12/27/18,376.90769
12/24/18,382.50884
12/21/18,383.33246
